社員ID,氏名,退職日,入社日,勤続年数,所属部署,ランク,性別,年齢,前職,入社区分,退職理由カテゴリ,退職理由自由記述
E0001,鈴木 知実,2024/6/7,2010/6/11,14,技術,リーダー,女性,51,営業,新卒,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0002,池田 陽子,2024/7/4,2012/7/7,12,営業,マネージャー,男性,51,事務,中途,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0003,清水 七夏,2024/4/19,2016/4/21,8,マーケティング,マネージャー,女性,22,事務,新卒,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0004,長谷川 春香,2024/7/2,2012/7/5,12,企画,部長,男性,54,製造,新卒,人間関係,直属の上司との価値観の違いや、コミュニケーションの取りづらさに悩んでいました。特にプロジェクト進行中の意見の対立が続き、精神的に大きな負担となっていました。改善を試みたものの、職場の雰囲気にも影響が出てしまいました。チームメンバーとの関係もぎこちなくなり、働き続けることが困難に感じました。より良い人間関係の中で働きたいという思いから退職を決意しました。
E0005,中村 直人,2024/4/28,2021/4/29,3,企画,部長,男性,51,接客,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0006,阿部 智也,2024/10/11,2020/10/12,4,技術,リーダー,女性,46,事務,新卒,健康問題,数年前から体調を崩しがちになり、通院や療養が必要となることが増えていました。無理をして働き続けた結果、仕事のパフォーマンスにも影響が出るようになりました。職場のサポートはあったものの、自身の体を第一に考え、退職を決意しました。今後は健康を回復させたうえで、自分に合った働き方を検討したいと思います。長い間ありがとうございました。
E0007,遠藤 香織,2025/1/6,2020/1/8,5,マーケティング,マネージャー,女性,28,事務,新卒,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0008,中村 加奈,2024/12/20,2004/12/25,20,企画,スタッフ,女性,41,営業,中途,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0009,三浦 直子,2025/3/16,2017/3/18,8,人事,リーダー,男性,55,事務,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0010,高橋 真綾,2024/11/30,2008/12/4,16,人事,マネージャー,男性,23,エンジニア,新卒,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0011,高橋 智也,2025/2/9,2021/2/10,4,営業,リーダー,男性,45,接客,新卒,報酬不満,業務量や責任の重さに対して、報酬が見合っていないと感じていました。昇給や昇進のチャンスも少なく、将来的な不安を抱えていました。同業他社と比較して待遇面での格差が大きく、不公平感がありました。家族を養う立場として、経済的な安定は重要です。そのため、より高い報酬が見込める企業への転職を決めました。
E0012,松本 あすか,2024/5/1,2017/5/3,7,総務,スタッフ,男性,39,製造,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0013,中島 康弘,2024/10/23,2008/10/27,16,人事,スタッフ,女性,34,営業,新卒,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0014,中村 洋介,2025/1/10,2015/1/13,10,人事,マネージャー,女性,31,製造,新卒,その他,長年の夢だった自営業を始めることを決意しました。現職でも多くの経験を積ませていただき感謝していますが、独立への想いを捨てきれませんでした。事業計画や資金の準備が整い、新たな挑戦に踏み出す時期と判断しました。不安もありますが、自分の可能性を信じて進んでいきたいです。これまでお世話になった皆様には心から感謝申し上げます。
E0015,井上 太郎,2024/10/21,2022/10/22,2,人事,マネージャー,男性,22,接客,中途,家庭の事情,高齢の親の介護が必要となり、勤務時間や勤務地の制約が厳しくなりました。柔軟な働き方を模索しましたが、現職では対応が難しい状況でした。家族との時間を大切にしたいという気持ちが強くなり、退職という選択をせざるを得ませんでした。しばらくは家庭に専念し、その後は在宅勤務可能な仕事を探す予定です。家族の支えが最優先と考えています。
E0016,佐藤 京助,2025/1/20,2024/1/21,1,人事,スタッフ,女性,53,製造,新卒,人間関係,直属の上司との価値観の違いや、コミュニケーションの取りづらさに悩んでいました。特にプロジェクト進行中の意見の対立が続き、精神的に大きな負担となっていました。改善を試みたものの、職場の雰囲気にも影響が出てしまいました。チームメンバーとの関係もぎこちなくなり、働き続けることが困難に感じました。より良い人間関係の中で働きたいという思いから退職を決意しました。
E0017,村上 零,2025/3/18,2019/3/20,6,総務,スタッフ,男性,22,事務,新卒,キャリアアップ,現職では自分のスキルや能力を十分に活かせていないと感じておりました。以前から興味を持っていた分野への転職を考えるようになり、資格取得などの準備を進めてきました。自身のキャリアをさらに高めるため、新しい業界への挑戦を決意しました。社内での成長機会が限られていることも一因です。これまでの経験を活かしつつ、さらなる飛躍を目指したいと考えています。
E0018,近藤 七夏,2024/7/2,2005/7/7,19,技術,部長,男性,58,コンサル,中途,人間関係,直属の上司との価値観の違いや、コミュニケーションの取りづらさに悩んでいました。特にプロジェクト進行中の意見の対立が続き、精神的に大きな負担となっていました。改善を試みたものの、職場の雰囲気にも影響が出てしまいました。チームメンバーとの関係もぎこちなくなり、働き続けることが困難に感じました。より良い人間関係の中で働きたいという思いから退職を決意しました。
